date,highestUid,activeUids,newActiveUids,buildingsAdded,totalBuildings,activeEver
2006-01,1506,50,19,0,0,102
2006-02,1623,47,14,0,0,116
2006-03,1818,51,15,0,0,131
2006-04,2160,80,29,0,0,160
2006-05,2581,96,36,0,0,196
2006-06,2898,90,25,0,0,221
2006-07,3231,104,30,0,0,251
2006-08,3585,123,37,5,5,288
2006-09,4013,131,40,0,5,328
2006-10,4522,147,34,4,9,362
2006-11,4985,190,76,0,9,438
2006-12,5346,243,79,9,18,517
2007-01,5776,270,67,2,20,584
2007-02,6373,321,103,4,24,687
2007-03,7021,421,136,2,26,823
2007-04,7654,495,149,21,47,972
2007-05,8487,604,122,9,56,1094
2007-06,9607,832,246,38,94,1340
2007-07,11294,873,345,26,120,1685
2007-08,12772,1017,400,133,253,2085
2007-09,15071,1290,519,176,429,2604
2007-10,17893,1868,899,280,709,3503
2007-11,20648,2106,938,118,827,4441
2007-12,22934,2148,902,322,1149,5343
2008-01,25971,2567,1124,628,1777,6467
2008-02,29268,2865,1238,744,2521,7705
2008-03,32802,3199,1360,1266,3787,9065
2008-04,36593,3589,1500,3551,7338,10565
2008-05,42274,4828,2387,2793,10131,12952
2008-06,48923,5903,2931,3225,13356,15883
2008-07,55726,6469,2929,3878,17234,18812
2008-08,64612,7759,3593,9979,27213,22405
2008-09,70637,7131,2666,8862,36075,25071
2008-10,76554,6851,2358,23193,59268,27429
2008-11,82948,6824,2409,9619,68887,29838
2008-12,88383,6555,2050,13355,82242,31888
2009-01,95923,7778,2783,21256,103498,34671
2009-02,103065,7335,2534,33624,137122,37205
2009-03,112590,8856,3453,45098,182220,40658
2009-04,121059,10928,4468,42071,224291,45126
2009-05,130371,13921,6258,40511,264802,51384
2009-06,140766,12262,4888,521315,786117,56272
2009-07,151993,13395,5731,56245,842362,62003
2009-08,165916,15805,7570,117750,960112,69573
2009-09,179973,16411,7890,86749,1046861,77463
2009-10,192224,14450,6214,143996,1190857,83677
2009-11,203640,13690,5774,157185,1348042,89451
2009-12,213973,11473,4002,152553,1500595,93453
2010-01,227386,13331,5303,303523,1804118,98756
2010-02,239164,12403,4722,352551,2156669,103478
2010-03,255314,13691,5185,359718,2516387,108663
2010-04,279258,14536,5083,325377,2841764,113746
2010-05,295719,14236,4825,600962,3442726,118571
2010-06,312426,14018,4781,2234505,5677231,123352
2010-07,326762,13621,4387,2321699,7998930,127739
2010-08,341058,15429,5344,1772109,9771039,133083
2010-09,371756,14336,4662,1131923,10902962,137745
2010-10,365414,13788,4532,1066703,11969665,142277
2010-11,377860,13882,4853,818046,12787711,147130
2010-12,390046,14169,4870,1251262,14038973,152000
2011-01,402695,14827,4937,1030169,15069142,156937
2011-02,415811,14856,5207,993349,16062491,162144
2011-03,430336,15848,5517,1176865,17239356,167661
2011-04,447360,17401,6127,800332,18039688,173788
2011-05,463636,17340,5640,892461,18932149,179428
2011-06,479797,18446,5497,724953,19657102,184925
2011-07,498785,18240,6657,979361,20636463,191582
2011-08,515240,16931,5439,5794171,26430634,197021
2011-09,530194,15435,4755,5127269,31557903,201776
2011-10,547115,16318,5487,1196236,32754139,207263
2011-11,562646,15649,5055,1362182,34116321,212318
2011-12,577829,15628,5200,1768453,35884774,217518
2012-01,597482,18307,7154,2099105,37983879,224672
2012-02,612939,15961,5335,1754009,39737888,230007
2012-03,644751,24507,11269,2052364,41790252,241276
2012-04,671428,21801,8747,1611765,43402017,250023
2012-05,693442,20534,7095,2002546,45404563,257118
2012-06,715681,20891,7544,1781820,47186383,264662
2012-07,773036,20373,6349,1602456,48788839,271011
2012-08,849178,21330,7042,1983984,50772823,278053
2012-09,935766,22518,8161,2034566,52807389,286214
2012-10,1018319,21084,7020,2293838,55101227,293234
2012-11,1100126,19900,6581,2783020,57884247,299815
2012-12,1177555,18033,5279,2481329,60365576,305094
2013-01,1217515,21067,7419,2268940,62634516,312513
2013-02,1243939,18849,5956,1830344,64464860,318469
2013-03,1317810,19551,6123,4059109,68523969,324592
2013-04,1405678,20625,6408,2770823,71294792,331000
2013-05,1505300,26146,9359,2190155,73484947,340359
2013-06,1598905,22658,7360,2010238,75495185,347719
2013-07,1699493,22397,6920,1945903,77441088,354639
2013-08,1730834,23336,7366,2031563,79472651,362005
2013-09,1761534,22377,7199,2422278,81894929,369204
2013-10,1792136,21814,7043,2180917,84075846,376247
2013-11,1824599,22777,8067,3048783,87124629,384314
2013-12,1862875,21526,7102,3369099,90493728,391416
2014-01,1912472,26377,10605,2764563,93258291,402021
2014-02,1959825,23431,8643,2876699,96134990,410664
2014-03,2011263,26519,9921,5024778,101159768,420585
2014-04,2055455,25816,9083,5822677,106982445,429668
2014-05,2101357,25453,8463,5353371,112335816,438131
2014-06,2158049,24758,8168,3550950,115886766,446299
2014-07,2227440,24492,7709,2820085,118706851,454008
2014-08,2302850,29110,10849,4001799,122708650,464857
2014-09,2370298,24915,7798,2989407,125698057,472655
2014-10,2437382,25950,8760,2846188,128544245,481415
2014-11,2494505,25301,8674,2733678,131277923,490089
2014-12,2547742,23895,7672,3021010,134298933,497761
